시설종류,대상시설명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자,제공기관코드,제공기관명,시도명
초등학교,춘당초등학교,강원도 횡성군 청일면 청정로 1461,강원도 횡성군 청일면 춘당리 759,37.6303747374,128.1447801644,횡성군,횡성경찰서,Y,2,10,2020-12-22,4260000,강원도 횡성군,강원도
어린이집,횡성어린이집,강원도 횡성군 횡성읍 북천서로 10,강원도 횡성군 횡성읍 북천리 115-192,37.4927181154,127.9903794748,횡성군,횡성경찰서,Y,3,8,2020-12-22,4260000,강원도 횡성군,강원도
어린이집,큰빛어린이집,강원도 횡성군 횡성읍 어수로 35,강원도 횡성군 횡성읍 읍하리 385-59,37.493952,127.983066,횡성군,횡성경찰서,Y,1,8,2020-12-22,4260000,강원도 횡성군,강원도
초등학교,덕천분교,강원도 횡성군 안흥면 덕송로 23,강원도 횡성군 안흥면 소사리 588-1,37.4646404114,128.1539440028,횡성군,횡성경찰서,Y,2,10,2020-12-22,4260000,강원도 횡성군,강원도
어린이집,우천어린이집,강원도 횡성군 우천면 우항3길 9-16,강원도 횡성군 우천면 우항리 754-5,37.4589305197,128.0643057245,횡성군,횡성경찰서,Y,2,10,2020-12-22,4260000,강원도 횡성군,강원도
유치원,성모유치원,강원도 횡성군 횡성읍 삼일로 32,강원도 횡성군 횡성읍 읍상리 388,37.4925452884,127.9870772417,횡성군,횡성경찰서,Y,4,10,2020-12-22,4260000,강원도 횡성군,강원도
유치원,화성유치원,강원도 횡성군 횡성읍 북천서로 20,강원도 횡성군 횡성읍 읍상리 364,37.4920826835,127.9901401883,횡성군,횡성경찰서,Y,4,10,2020-12-22,4260000,강원도 횡성군,강원도
유치원,오르다유치원,경기도 오산시 동부대로 468-16 (원동),경기도 오산시 원동 121-1,37.1439127,127.0795105,경기도 오산시,오산경찰서,Y,1,6,2021-03-16,4000000,경기도 오산시,경기도
유치원,지예뜰유치원,경기도 오산시 남부대로 411-78 (원동),경기도 오산시 원동 639-13,37.1375698,127.0838707,경기도 오산시,오산경찰서,Y,1,6,2021-03-16,4000000,경기도 오산시,경기도
어린이집,해에게서소년에게어린이집,경기도 오산시 경기대로416번길 50 (은계동),경기도 오산시 은계동 72,37.16123725,127.070583,경기도 오산시,오산경찰서,Y,1,6,2021-03-16,4000000,경기도 오산시,경기도
